"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Gravel and Crushed Stone",52517,"Mineral Products",5,4463440,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Dolomite",52518,"Mineral Products",5,241005,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Magnesium Carbonate",52519,"Mineral Products",5,689869,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Gypsum",52520,"Mineral Products",5,956558,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Limestone",52521,"Mineral Products",5,29369,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Quicklime",52522,"Mineral Products",5,1089442,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Cement",52523,"Mineral Products",5,10676409,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Asbestos",52524,"Mineral Products",5,3997,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Mica",52525,"Mineral Products",5,192,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Soapstone",52526,"Mineral Products",5,48909,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Borax",52528,"Mineral Products",5,31,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Feldspar",52529,"Mineral Products",5,980,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Other Mineral",52530,"Mineral Products",5,2484438,2019
"Ores, slag and ash",526,"Iron Ore",52601,"Mineral Products",5,107395439,2019
"Ores, slag and ash",526,"Aluminium Ore",52606,"Mineral Products",5,2012,2019
"Ores, slag and ash",526,"Zinc Ore",52608,"Mineral Products",5,52799,2019
"Ores, slag and ash",526,"Titanium Ore",52614,"Mineral Products",5,3941.9999999999995,2019
"Ores, slag and ash",526,"Niobium, Tantalum, Vanadium and Zirconium Ore",52615,"Mineral Products",5,36806,2019
"Ores, slag and ash",526,"Precious Metal Ore",52616,"Mineral Products",5,16287,2019
"Ores, slag and ash",526,"Other Ores",52617,"Mineral Products",5,1343481,2019
"Ores, slag and ash",526,"Granulated Slag",52618,"Mineral Products",5,21259,2019
"Ores, slag and ash",526,"Slag Dross",52619,"Mineral Products",5,13328941,2019
"Ores, slag and ash",526,"Non-Iron and Steel Slag, Ash and Residues",52620,"Mineral Products",5,21893793,2019
"Ores, slag and ash",526,"Other Slag and Ash",52621,"Mineral Products",5,14441,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Briquettes",52701,"Mineral Products",5,112782695,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Peat",52703,"Mineral Products",5,920075,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Coke",52704,"Mineral Products",5,31136034,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Non-Petroleum Gas",52705,"Mineral Products",5,11280,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Tar",52706,"Mineral Products",5,3694,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Coal Tar Oil",52707,"Mineral Products",5,283625,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Crude Petroleum",52709,"Mineral Products",5,446033827,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Refined Petroleum",52710,"Mineral Products",5,59722088,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Gas",52711,"Mineral Products",5,33132211,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Jelly",52712,"Mineral Products",5,180389,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Petroleum Coke",52713,"Mineral Products",5,16733390.999999998,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Asphalt",52714,"Mineral Products",5,327882,2019
"Mineral fuels, mineral oils and products of their distillation",527,"Asphalt Mixtures",52715,"Mineral Products",5,451760.99999999994,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Halogens",62801,"Chemical Products",6,159907,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Sulfur",62802,"Chemical Products",6,188603.00000000003,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Carbon",62803,"Chemical Products",6,28125,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Hydrogen",62804,"Chemical Products",6,1646478,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Alkaline Metals",62805,"Chemical Products",6,60312,2019
"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",628,"Hydrochloric Acid",62806,"Chemical Products",6,20411,2019
